Year,State,County,BirthRate
2015,Nevada,Churchill,32.170853
2015,Nevada,Clark,26.56643
2015,Nevada,Douglas,13.769025
2015,Nevada,Elko,35.801938
2015,Nevada,Esmeralda,21.624836
2015,Nevada,Eureka,18.560169
2015,Nevada,Humboldt,37.273669
2015,Nevada,Lander,33.552707
2015,Nevada,Lincoln,9.380682
2015,Nevada,Lyon,28.307248
2015,Nevada,Mineral,30.259862
2015,Nevada,Nye,27.943136
2015,Nevada,Pershing,34.11095
2015,Nevada,Storey,12.151919
2015,Nevada,Washoe,27.488762
2015,Nevada,White Pine,32.161944
2015,Nevada,Carson City,34.364792
